peakid,pkname,location,heightm,heightf,region,restrict,pstatus,pyear,pexpid
GAN2,Ganesh II,Ganesh Himal (WSW of Ganesh I),7118,23353,4,None,2,1981,GAN281302
GAN4,Ganesh IV,Ganesh Himal (SW of Ganesh I),7104,23307,4,None,2,1978,GAN478301
GAN5,Ganesh V,Ganesh Himal (SE of Ganesh I on Tibetan border),6770,22211,4,None,2,1980,GAN580101
GAN6,Ganesh VI,Ganesh Himal (subpeak SE of Ganesh II),6908,22664,4,Opened in 2002,2,2000,GAN600101
GANC,Ganchenpo,Jugal Himal (W of Dorje Lhakpa and Urkinmang),6378,20925,3,None,2,1971,GANC71302
GAND,Gandharva Chuli,Annapurna Himal (SSW of Annapurna III near Machhapuchhare),6248,20499,5,None,2,2013,GAND13101
GANG,Gangapurna,Annapurna Himal (NW of Annapurna III),7455,24459,5,None,2,1965,GANG65101
GAUR,Gaurishankar,Rolwaling Himal (on Tibetan border),7135,23409,2,None,2,1979,GAUR79101
GHUN,Ghustang North,Dhaulagiri Himal (WNW of Gurja Himal),6529,21421,6,Opened in 2003,2,1962,GHUN62301
GHUS,Ghustang South,Dhaulagiri Himal (WSW of Gurja Himal),6465,21211,6,Opened in 2003,2,2019,GHUS18301
MATA,Matathumba,Jagdula Lekh (S of Kanjiroba Himal),5767,18921,7,None,2,1961,MATA61101
GHYM,Ghyuthumba Main,Jagdula Lekh (S of Kanjiroba Himal),5806,19049,7,None,2,1953,GHYM53301
GIME,Gimmigela Chuli East,Kangchenjunga Himal (N of Kangchenjunga on Indian border),7007,22989,1,Requires permit for Gimmigela Chuli,2,1993,GIME93301
